PID     Mass        rhotu    rhotc    rhott         cross_section        Err_cross_section
s0      500          0.0      0.4      0.0           1.297e-03                1.783e-04
a0      900          0.0      0.4      0.0           1.880e-04                2.376e-05
s0      700          0.1      0.0      0.0           2.770e-04                4.723e-05
s0      700          0.8      0.0      0.0           3.088e-02                4.087e-03
s0      600          0.1      0.0      0.0           4.966e-04                7.677e-05
s0      700          0.0      0.8      0.0           1.783e-03                2.454e-04
s0      600          0.8      0.0      0.0           5.711e-02                6.572e-03
s0      600          1.0      0.0      0.0           8.863e-02                1.123e-02
s0      600          0.4      0.0      0.0           8.251e-03                1.303e-03
s0      700          0.0      0.4      0.0           4.038e-04                5.679e-05
s0      800          0.0      0.4      0.0           2.360e-04                3.548e-05
s0      700          0.0      1.0      0.0           2.823e-03                4.143e-04
s0      700          0.0      0.1      0.0           2.703e-05                3.715e-06
s0      700          0.4      0.0      0.0           5.630e-03                8.167e-04
s0      900          0.0      0.4      0.0           1.416e-04                2.230e-05
