Mass[GeV]		rtt		rtc		sigma(cgbh)[pb]		      sigma(bgth)[pb]		    sigma(bgth)/sigma(cgbh)	
--------		---		---		---------------		      ---------------		    -----------------------	
200 			0.1 		0.1 		1.914e-01			1.218e-02 			0.06
200 			0.1 		0.4 		2.154e-01			2.673e-02 			0.12
200 			0.1 		0.6 		2.132e-01			5.058e-02 			0.24
200 			0.1 		1.0 		2.298e-01			1.381e-01 			0.60
200 			0.4 		0.1 		1.016e+00			1.417e-02 			0.12
200 			0.4 		0.4 		3.229e+00			1.835e-01 			0.06
200 			0.4 		0.6 		2.061e+00			2.225e-01 			0.88
200 			0.4 		1.0 		3.545e+00			3.520e-01 			0.10
200 			0.6 		0.1 		2.195e+00			1.249e-01 			0.62
200 			0.6 		0.4 		6.609e+00			3.807e-01 			0.06
200 			0.6 		0.6 		7.260e+00			4.230e-01 			0.06
200 			0.6 		1.0 		7.783e+00			5.542e-01 			0.74
200 			1.0 		0.1 		2.856e+00			1.453e-01 			0.05
200 			1.0 		0.4 		9.317e+00			8.478e-01 			0.75
200 			1.0 		0.6 		1.862e+01			1.064e+00 			0.06
200 			1.0 		1.0 		2.047e+01			1.288e+00 			0.06
250 			0.1 		0.1 		3.055e-01			7.723e-03 			0.03
250 			0.1 		0.4 		3.743e-01			4.880e-02 			0.13
250 			0.1 		0.6 		3.809e-01			1.061e-01 			0.28
250 			0.1 		1.0 		3.634e-01			2.669e-01 			0.73
250 			0.4 		0.1 		1.080e+00			2.109e-02 			0.02
250 			0.4 		0.4 		4.747e+00			1.240e-01 			0.03
250 			0.4 		0.6 		5.262e+00			1.981e-01 			0.04
250 			0.4 		1.0 		5.500e+00			3.752e-01 			0.07
250 			0.6 		0.1 		1.213e+00			2.328e-02 			0.02
250 			0.6 		0.4 		8.522e+00			1.935e-01 			0.02
250 			0.6 		0.6 		1.081e+01			2.885e-01 			0.03
250 			0.6 		1.0 		1.186e+01			4.990e-01 			0.04
250 			1.0 		0.1 		1.314e+00			2.588e-02 			0.02
250 			1.0 		0.4 		1.381e+01			2.888e-01 			0.02
250 			1.0 		0.6 		2.146e+01			4.608e-01 			0.02
250 			1.0 		1.0 		2.697e+01			8.210e-01 			0.03
300 			0.1 		0.1 		2.172e-01			5.389e-03 			0.02
300 			0.1 		0.4 		2.903e-01			5.195e-02 			0.18
300 			0.1 		0.6 		2.910e-01			1.049e-01 			0.36
300 			0.1 		1.0 		2.911e-01			2.773e-01 			0.95
300 			0.4 		0.1 		5.959e-01			9.840e-03 			0.02
300 			0.4 		0.4 		3.391e+00			8.575e-02 			0.03
300 			0.4 		0.6 		3.834e+00			1.454e-01 			0.04
300 			0.4 		1.0 		4.250e+00			3.275e-01 			0.08
300 			0.6 		0.1 		6.351e-01			1.055e-02 			0.02
300 			0.6 		0.4 		5.370e+00			1.061e-01 			0.02
300 			0.6 		0.6 		7.442e+00			1.933e-01 			0.03
300 			0.6 		1.0 		9.086e+00			4.061e-01 			0.04
300 			1.0 		0.1 		6.563e-01			1.043e-02 			0.02
300 			1.0 		0.4 		7.696e+00			1.406e-01 			0.02
300 			1.0 		0.6 		1.361e+01			2.671e-01 			0.02
300 			1.0 		1.0 		1.994e+01			5.445e-01 			0.03
350 			0.1 		0.1 		1.330e-01			3.716e-03 			0.03
350 			0.1 		0.4 		1.941e-01			4.293e-02 			0.22
350 			0.1 		0.6 		2.097e-01			1.395e-02 			0.07
350 			0.1 		1.0 		2.147e-01			2.434e-01 			1.13
350 			0.4 		0.1 		3.365e-01			5.181e-03 			0.02
350 			0.4 		0.4 		2.043e+00			5.493e-02 			0.03
350 			0.4 		0.6 		2.569e+00			1.188e-01 			0.05
350 			0.4 		1.0 		2.953e+00			2.771e-01 			0.09
350 			0.6 		0.1 		3.309e-01			5.936e-03 			0.02
350 			0.6 		0.4 		3.391e+00			6.870e-02 			0.02
350 			0.6 		0.6 		4.774e+00			1.326e-01 			0.03
350 			0.6 		1.0 		6.065e+00			3.215e-01 			0.05
350 			1.0 		0.1 		3.456e-01			5.082e-03 			0.01
350 			1.0 		0.4 		4.141e+00			7.818e-02 			0.02
350 			1.0 		0.6 		7.842e+00			1.656e-01 			0.02
350 			1.0 		1.0 		1.262e+01			3.712e-01 			0.03
400 			0.1 		0.1 		8.419e-02			2.519e-03 			0.03
400 			0.1 		0.4 		1.362e-01			3.265e-02 			0.24
400 			0.1 		0.6 		1.373e-01			6.881e-02 			0.50
400 			0.1 		1.0 		1.337e-01			1.934e-01 			1.45
400 			0.4 		0.1 		1.835e-01			3.392e-03 			0.02
400 			0.4 		0.4 		1.375e+00			3.970e-02 			0.03
400 			0.4 		0.6 		1.748e+00			7.815e-02 			0.04
400 			0.4 		1.0 		2.050e+00			2.042e-01 			0.10
400 			0.6 		0.1 		2.028e-01			3.132e-03 			0.02
400 			0.6 		0.4 		1.887e+00			4.373e-02 			0.02
400 			0.6 		0.6 		2.977e+00			9.140e-02 			0.03
400 			0.6 		1.0 		4.030e+00			2.268e-01 			0.06
400 			1.0 		0.1 		2.039e-01			3.497e-03 			0.02
400 			1.0 		0.4 		2.653e+00			5.180e-02 			0.02
400 			1.0 		0.6 		4.824e+00			1.029e-01 			0.02
400 			1.0 		1.0 		7.994e+00			2.425e-01 			0.03
500 			0.1 		0.1 		3.559e-02			1.312e-03 			0.04
500 			0.1 		0.4 		6.270e-02			1.809e-02 			0.29
500 			0.1 		0.6 		6.042e-02			3.940e-02 			0.65
500 			0.1 		1.0 		5.979e-02			1.200e-01 			2.01
500 			0.4 		0.1 		7.492e-02			1.446e-03 			0.02
500 			0.4 		0.4 		5.350e-01			2.124e-02 			0.04
500 			0.4 		0.6 		7.060e-01			4.365e-02 			0.06
500 			0.4 		1.0 		8.510e-01			1.188e-01 			0.14
500 			0.6 		0.1 		7.298e-02			1.377e-03 			0.02
500 			0.6 		0.4 		7.911e-01			2.144e-02 			0.03
500 			0.6 		0.6 		1.235e+00			4.801e-02 			0.04
500 			0.6 		1.0 		1.707e+00			1.228e-01 			0.07
