Mass	rhott	rhotc	nDAS
200	rhott01	rhotc01	722931
200	rhott01	rhotc04	745868
200	rhott01	rhotc06	727332
200	rhott01	rhotc10	826030
200	rhott04	rhotc01	732216
200	rhott04	rhotc04	728793
200	rhott04	rhotc06	739906
200	rhott04	rhotc10	730152
200	rhott06	rhotc01	697249
200	rhott06	rhotc04	807518
200	rhott06	rhotc06	827716
200	rhott06	rhotc10	829454
200	rhott10	rhotc01	792391
200	rhott10	rhotc04	779456
200	rhott10	rhotc06	755660
200	rhott10	rhotc10	709193
300	rhott01	rhotc01	420095
300	rhott01	rhotc04	409066
300	rhott01	rhotc06	395387
300	rhott01	rhotc10	413320
300	rhott04	rhotc01	430247
300	rhott04	rhotc04	411536
300	rhott04	rhotc06	423411
300	rhott04	rhotc10	397640
300	rhott06	rhotc01	397767
300	rhott06	rhotc04	418724
300	rhott06	rhotc06	425759
300	rhott06	rhotc10	396584
300	rhott10	rhotc01	396278
300	rhott10	rhotc04	432343
300	rhott10	rhotc06	402907
300	rhott10	rhotc10	427596
350	rhott01	rhotc01	489927
350	rhott01	rhotc04	502303
350	rhott01	rhotc06	476701
350	rhott01	rhotc10	521725
350	rhott04	rhotc01	489797
350	rhott04	rhotc04	502162
350	rhott04	rhotc06	520111
350	rhott04	rhotc10	466322
350	rhott06	rhotc01	515889
350	rhott06	rhotc04	514828
350	rhott06	rhotc06	476156
350	rhott06	rhotc10	507142
350	rhott10	rhotc01	480239
350	rhott10	rhotc04	481798
350	rhott10	rhotc06	490497
350	rhott10	rhotc10	528889
400	rhott01	rhotc01	445610
400	rhott01	rhotc04	515687
400	rhott01	rhotc06	491189
400	rhott01	rhotc10	477950
400	rhott04	rhotc01	497970
400	rhott04	rhotc04	447453
400	rhott04	rhotc06	483966
400	rhott04	rhotc10	467920
400	rhott06	rhotc01	477898
400	rhott06	rhotc04	487777
400	rhott06	rhotc06	439061
400	rhott06	rhotc10	466717
400	rhott10	rhotc01	505535
400	rhott10	rhotc04	514589
400	rhott10	rhotc06	454509
400	rhott10	rhotc10	506094
500	rhott01	rhotc01	527039
500	rhott01	rhotc04	500739
500	rhott01	rhotc06	453377
500	rhott01	rhotc10	541162
500	rhott04	rhotc01	510044
500	rhott04	rhotc04	518924
500	rhott04	rhotc06	507440
500	rhott04	rhotc10	504514
500	rhott06	rhotc01	502486
500	rhott06	rhotc04	530265
500	rhott06	rhotc06	485424
500	rhott06	rhotc10	529751
500	rhott10	rhotc01	474108
500	rhott10	rhotc04	512419
500	rhott10	rhotc06	452992
500	rhott10	rhotc10	501154
600	rhott01	rhotc01	506320
600	rhott01	rhotc04	524306
600	rhott01	rhotc06	559569
600	rhott01	rhotc10	600738
600	rhott04	rhotc01	500657
600	rhott04	rhotc04	552949
600	rhott04	rhotc06	510989
600	rhott04	rhotc10	540897
600	rhott06	rhotc01	530458
600	rhott06	rhotc04	534660
600	rhott06	rhotc06	544018
600	rhott06	rhotc10	537470
600	rhott10	rhotc01	518490
600	rhott10	rhotc04	532827
600	rhott10	rhotc06	530008
600	rhott10	rhotc10	526577
700	rhott01	rhotc01	524557
700	rhott01	rhotc04	465372
700	rhott01	rhotc06	519490
700	rhott01	rhotc10	480799
700	rhott04	rhotc01	502257
700	rhott04	rhotc04	511490
700	rhott04	rhotc06	506029
700	rhott04	rhotc10	478524
700	rhott06	rhotc01	518021
700	rhott06	rhotc04	518423
700	rhott06	rhotc06	452636
700	rhott06	rhotc10	485305
700	rhott10	rhotc01	495724
700	rhott10	rhotc04	482469
700	rhott10	rhotc06	521702
700	rhott10	rhotc10	522262
800	rhott01	rhotc01	486756
800	rhott01	rhotc04	490803
800	rhott01	rhotc06	489927
800	rhott01	rhotc10	497543
800	rhott04	rhotc01	491114
800	rhott04	rhotc04	488223
800	rhott04	rhotc06	496139
800	rhott04	rhotc10	495200
800	rhott06	rhotc01	495137
800	rhott06	rhotc04	496776
800	rhott06	rhotc06	494437
800	rhott06	rhotc10	498374
800	rhott10	rhotc01	502509
800	rhott10	rhotc04	498799
800	rhott10	rhotc06	493402
800	rhott10	rhotc10	508813
900	rhott01	rhotc01	489160
900	rhott01	rhotc04	490426
900	rhott01	rhotc06	491609
900	rhott01	rhotc10	508083
900	rhott04	rhotc01	498785
900	rhott04	rhotc04	506661
900	rhott04	rhotc06	496913
900	rhott04	rhotc10	506703
900	rhott06	rhotc01	496924
900	rhott06	rhotc04	505431
900	rhott06	rhotc06	493906
900	rhott06	rhotc10	504723
900	rhott10	rhotc01	497717
900	rhott10	rhotc04	499660
900	rhott10	rhotc06	496618
900	rhott10	rhotc10	515358
1000	rhott01	rhotc01	519678
1000	rhott01	rhotc04	537554
1000	rhott01	rhotc06	478898
1000	rhott01	rhotc10	530848
1000	rhott04	rhotc01	507059
1000	rhott04	rhotc04	509252
1000	rhott04	rhotc06	493610
1000	rhott04	rhotc10	500084
1000	rhott06	rhotc01	466387
1000	rhott06	rhotc04	498811
1000	rhott06	rhotc06	504279
1000	rhott06	rhotc10	477564
1000	rhott10	rhotc01	504041
1000	rhott10	rhotc04	492382
1000	rhott10	rhotc06	509648
1000	rhott10	rhotc10	504617
